domain,ip
6a57jk2ba1d9keg15cbg.appsync-api.eu-west-1.avsvmcloud.com,
7sbvaemscs0mc925tb99.appsync-api.us-west-2.avsvmcloud.com,
gq1h856599gqh538acqn.appsync-api.us-west-2.avsvmcloud.com,
ihvpgv9psvq02ffo77et.appsync-api.us-east-2.avsvmcloud.com,
k5kcubuassl3alrf7gm3.appsync-api.eu-west-1.avsvmcloud.com,
mhdosoksaccf9sni9icp.appsync-api.eu-west-1.avsvmcloud.com,
deftsecurity.com,13.59.205.66
freescanonline.com,54.193.127.66
thedoccloud.com,54.215.192.52
websitetheme.com,34.203.203.23
highdatabase.com,139.99.115.204
incomeupdate.com,5.252.177.25
databasegalore.com,5.252.177.21
panhardware.com,204.188.205.176
zupertech.com,51.89.125.18
zupertech.com,167.114.213.199
freescanonline.com,
deftsecurity.com,
freescanonline.com,
thedoccloud.com,
thedoccloud.com,
thedoccloud.com,
,96.31.172.7
,96.31.172.70
,96.31.172.71
,96.31.172.72
,96.31.172.73
,96.31.172.74
,96.31.172.75
,96.31.172.76
,96.31.172.77
,96.31.172.78
,96.31.172.79
,96.31.172.8
,96.31.172.80
,96.31.172.82
,96.31.172.83
,96.31.172.84
,96.31.172.85
,96.31.172.86
,96.31.172.87
,96.31.172.88
,96.31.172.89
,96.31.172.9
,96.31.172.90
,96.31.172.91
,96.31.172.92
,96.31.172.93
,96.31.172.94
,96.31.172.95
,96.31.172.96
,96.31.172.97
,96.31.172.98
,96.31.172.99
,99.79.212.20
,99.79.245.20
,107.161.23.204
,107.191.99.119
,131.228.12.1
,131.228.12.106
,131.228.12.11
,131.228.12.123
,131.228.12.13
,131.228.12.134
,131.228.12.139
,131.228.12.149
,131.228.12.151
,131.228.12.164
,131.228.12.169
,131.228.12.17
,131.228.12.170
,131.228.12.172
,131.228.12.174
,131.228.12.177
,131.228.12.182
,131.228.12.187
,131.228.12.188
,131.228.12.194
,131.228.12.195
,131.228.12.196
,131.228.12.198
,131.228.12.214
,131.228.12.215
,131.228.12.218
,131.228.12.22
,131.228.12.23
,131.228.12.235
,131.228.12.238
,131.228.12.242
,131.228.12.249
,131.228.12.251
,131.228.12.31
,131.228.12.34
,131.228.12.37
,131.228.12.4
,131.228.12.41
,131.228.12.42
,131.228.12.45
,131.228.12.46
,131.228.12.49
,131.228.12.52
,131.228.12.6
,131.228.12.62
,131.228.12.66
,131.228.12.67
,131.228.12.70
,131.228.12.76
,131.228.12.77
,131.228.12.78
,131.228.12.81
,131.228.12.92
,131.228.12.95
,131.228.12.97
,131.228.12.99
,131.228.13.1
,131.228.13.105
,131.228.13.106
,131.228.13.107
,131.228.13.124
,131.228.13.127
,131.228.13.134
,131.228.13.138
,131.228.13.140
,131.228.13.143
,131.228.13.144
,131.228.13.15
,131.228.13.150
,131.228.13.155
,131.228.13.156
,131.228.13.157
,131.228.13.159
,131.228.13.167
,131.228.13.169
,131.228.13.176
,131.228.13.178
,131.228.13.179
,131.228.13.200
,131.228.13.21
,131.228.13.210
,131.228.13.211
,131.228.13.213
,131.228.13.223
,131.228.13.225
,131.228.13.226
,131.228.13.227
,131.228.13.228
,131.228.13.230
,131.228.13.235
,131.228.13.237
,131.228.13.247
,131.228.13.249
,131.228.13.251
,131.228.13.27
,131.228.13.31
,131.228.13.36
,131.228.13.38
,131.228.13.45
,131.228.13.5
,131.228.13.57
,131.228.13.58
,131.228.13.6
,131.228.13.61
,131.228.13.63
,131.228.13.75
,131.228.13.82
,131.228.13.84
,131.228.13.85
,131.228.13.88
,131.228.13.9
,131.228.13.95
,131.228.13.96
,131.228.13.99
,131.228.14.1
,131.228.14.10
,131.228.14.106
,131.228.14.110
,131.228.14.113
,131.228.14.115
,131.228.14.116
,131.228.14.117
,131.228.14.125
,131.228.14.126
,131.228.14.127
,131.228.14.13
,131.228.14.140
,131.228.14.154
,131.228.14.156
,131.228.14.157
,131.228.14.163
,131.228.14.166
,131.228.14.167
,131.228.14.174
,131.228.14.176
,131.228.14.178
,131.228.14.18
,131.228.14.190
,131.228.14.208
,131.228.14.216
,131.228.14.221
,131.228.14.224
,131.228.14.233
,131.228.14.238
,131.228.14.244
,131.228.14.247
,131.228.14.248
,131.228.14.249
,131.228.14.251
,131.228.14.31
,131.228.14.33
,131.228.14.36
,131.228.14.38
,131.228.14.41
,131.228.14.42
,131.228.14.48
,131.228.14.53
,131.228.14.57
,131.228.14.6
,131.228.14.61
,131.228.14.7
,131.228.14.70
,131.228.14.72
,131.228.14.81
,131.228.14.82
,131.228.14.83
,131.228.14.97
,131.228.15.1
,131.228.15.10
,131.228.15.101
,131.228.15.116
,131.228.15.119
,131.228.15.122
,131.228.15.123
,131.228.15.131
,131.228.15.133
,131.228.15.135
,131.228.15.136
,131.228.15.139
,131.228.15.145
,131.228.15.150
,131.228.15.178
,131.228.15.179
,131.228.15.180
,131.228.15.189
,131.228.15.191
